Date,Open,High,Low,Close,Adj Close,Volume
01/01/2018,755.757019,1432.880005,742.004028,1118.310059,1118.310059,1.6361E+11
01/02/2018,1119.369995,1161.349976,574.419006,855.198975,855.198975,83393441152
01/03/2018,856.012024,880.302002,368.632996,396.457001,396.457001,53716179584
01/04/2018,397.253998,708.875,363.804993,669.924011,669.924011,60669918656
01/05/2018,670.463013,835.057007,512.552002,577.64502,577.64502,81752720256
01/06/2018,578.671997,624.513,407.946991,455.179993,455.179993,55077550208
01/07/2018,455.242004,513.432983,422.809998,433.867004,433.867004,52395320112
01/08/2018,433.868988,435.457001,254.649994,283.003998,283.003998,49073240000
01/09/2018,283.496002,301.144012,170.257004,232.848007,232.848007,55203910000
01/10/2018,233.220001,234.145004,188.707001,197.380997,197.380997,44459810000
01/11/2018,197.537003,221.651993,101.769997,113.171417,113.171417,59375107547
01/12/2018,113.397758,157.668701,82.829887,133.368256,133.368256,72329895639
01/01/2019,133.418152,160.82489,103.336464,107.061012,107.061012,85054975141
01/02/2019,107.147682,165.549622,102.934563,136.746246,136.746246,1.01431E+11
01/03/2019,136.836243,149.613235,125.402702,141.514099,141.514099,1.38882E+11
01/04/2019,141.465485,184.377853,140.737564,162.166031,162.166031,2.04557E+11
01/05/2019,162.186554,287.20163,159.660217,268.113556,268.113556,3.14349E+11
01/06/2019,268.43335,361.398682,229.257431,290.695984,290.695984,2.7059E+11
01/07/2019,290.268494,318.223114,193.990417,218.654144,218.654144,2.49663E+11
01/08/2019,218.554596,239.115906,167.071411,172.469788,172.469788,2.03392E+11
01/09/2019,172.458405,222.871689,157.130325,179.872208,179.872208,2.23405E+11
01/10/2019,180.209122,195.942505,157.463425,183.966919,183.966919,2.5168E+11
01/11/2019,183.803696,193.547256,133.802338,152.539688,152.539688,2.52845E+11
01/12/2019,152.491928,153.155396,119.78006,129.610855,129.610855,2.47117E+11
01/01/2020,129.630661,186.260483,126.490021,180.160172,180.160172,3.27976E+11
01/02/2020,180.11377,287.123688,179.745178,219.848511,219.848511,5.78092E+11
01/03/2020,219.752686,249.978485,95.184303,133.593567,133.593567,4.98921E+11
01/04/2020,133.61232,227.529694,129.730942,207.602051,207.602051,5.32159E+11
01/05/2020,207.901733,244.045258,180.718338,230.975708,230.975708,5.05593E+11
01/06/2020,230.86026,252.222,219.472672,226.315002,226.315002,2.52221E+11
01/07/2020,226.134583,348.611359,224.544495,345.554657,345.554657,2.51432E+11
01/08/2020,345.798615,444.577759,343.587433,435.079742,435.079742,3.74123E+11
01/09/2020,434.874451,487.211884,316.774353,359.937866,359.937866,5.18354E+11
01/10/2020,360.309143,420.141663,334.545563,386.590332,386.590332,4.16749E+11
01/11/2020,386.590332,621.173401,371.312744,614.842529,614.842529,4.87476E+11
01/12/2020,615.070313,754.303223,532.998413,737.803406,737.803406,4.70673E+11
01/01/2021,737.708374,1467.784912,718.109497,1314.986206,1314.986206,1.18164E+12
01/02/2021,1314.855225,2036.286499,1274.357788,1416.04895,1416.04895,1.00772E+12
01/03/2021,1417.151123,1947.837769,1416.416138,1918.362061,1918.362061,7.30832E+11
01/04/2021,1919.157227,2797.972412,1912.178467,2773.207031,2773.207031,9.95334E+11
01/05/2021,2772.838379,4362.350586,1737.46875,2714.945313,2714.945313,1.51033E+12
01/06/2021,2707.560547,2891.254883,1707.600586,2274.547607,2274.547607,8.13523E+11
01/07/2021,2274.397461,2551.161133,1722.050781,2536.209961,2536.209961,5.91739E+11
01/08/2021,2530.462891,3466.992188,2449.353516,3433.732666,3433.732666,7.03006E+11
01/09/2021,3430.762451,4022.469238,2676.407471,3001.678955,3001.678955,6.53985E+11
01/10/2021,3001.129395,4455.735352,2978.654297,4288.074219,4288.074219,5.74798E+11
01/11/2021,4288.217285,4891.70459,3933.506592,4631.479004,4631.479004,5.73547E+11
01/12/2021,4623.679688,4780.732422,3525.494141,3682.632813,3682.632813,6.21042E+11
01/01/2022,3683.047119,3876.785156,2172.30127,2688.278809,2688.278809,4.91109E+11
01/02/2022,2687.898926,3271.316162,2308.914795,2919.201172,2919.201172,4.16163E+11
01/03/2022,2919.775879,3470.186279,2455.59375,3281.642822,3281.642822,4.36852E+11
01/04/2022,3282.576172,3573.960205,2727.40625,2730.186768,2730.186768,4.93826E+11
01/05/2022,2729.994141,2956.686768,1721.264771,1942.328003,1942.328003,6.36271E+11
01/06/2022,1942.050659,1965.166626,896.109009,1067.298828,1067.298828,5.62033E+11
01/07/2022,1068.316772,1774.576416,1019.220337,1681.517334,1681.517334,5.34458E+11
01/08/2022,1681.445557,2022.791504,1427.728394,1553.684937,1553.684937,5.54163E+11
01/09/2022,1553.756348,1784.497803,1229.426758,1327.978638,1327.978638,4.96652E+11
01/10/2022,1328.193726,1652.382202,1209.278198,1572.714478,1572.714478,3.82072E+11
01/11/2022,1572.645386,1661.334717,1081.138184,1295.688599,1295.688599,4.21798E+11
01/12/2022,1295.769531,1346.174438,1162.175659,1168.259399,1168.259399,96583634955
19/12/2022,1185.364746,1192.923828,1179.119019,1185.760254,1185.760254,4048779520