Indian State,Unemployment Rate,Literacy Rate
Andhra Pradesh,4.8,66.4
Assam,0.4,73.18
Bihar,11.4,69.82
Chhattisgarh,0.1,71.04
Delhi,9.6,86.34
Goa,10.9,87.4
Gujarat,1.6,79.31
Haryana,22.9,76.64
Himachal Pradesh,9.2,83.78
Jammu and Kashmir,23.2,68.74
Jharkhand,12.2,66.41
Karnataka,3.8,75.6
Kerala,6.4,93.91
Madhya Pradesh,0.9,70.63
Maharashtra,4,82.91
Meghalaya,2.3,75.48
Odisha,5.9,73.45
Puducherry,7.3,86.55
Punjab,7,76.68
Rajasthan,23.8,67.06
Tamil Nadu,4.1,80.33
Tripura,17,87.75
Uttar Pradesh,4,79.63
Uttarakhand,0.5,69.72
West Bengal,3.3,77.08