date,close,open,high,low
12/16/2022,150.23,159.64,160.99,150.04
12/15/2022,157.67,153.44,160.93,153.28
12/14/2022,156.80,159.25,161.62,155.31
12/13/2022,160.95,174.87,175.05,156.91
12/12/2022,167.82,176.10,177.37,167.52
12/09/2022,179.05,173.84,182.50,173.36
12/08/2022,173.44,172.20,175.20,169.06
12/07/2022,174.04,175.03,179.38,172.22
12/06/2022,179.82,181.22,183.65,175.33
12/05/2022,182.45,189.44,191.27,180.55
12/02/2022,194.86,191.78,196.25,191.11
12/01/2022,194.70,197.08,198.92,191.80
11/30/2022,194.70,182.43,194.76,180.63
11/29/2022,180.83,184.99,186.38,178.75
11/28/2022,182.92,179.96,188.50,179.00
11/25/2022,182.86,185.06,185.20,180.63
11/23/2022,183.20,173.57,183.62,172.50
11/22/2022,169.91,168.63,170.92,166.19
11/21/2022,167.87,175.85,176.77,167.54
11/18/2022,180.19,185.05,185.19,176.55
11/17/2022,183.17,183.96,186.16,180.90
11/16/2022,186.92,191.51,192.57,185.66
11/15/2022,194.42,195.88,200.82,192.06
11/14/2022,190.95,192.77,195.73,186.34
11/11/2022,195.97,186.00,196.52,182.59
11/10/2022,190.72,189.90,191.00,180.03
11/09/2022,177.59,190.78,195.89,177.12
11/08/2022,191.30,194.02,195.20,186.75
11/07/2022,197.08,208.65,208.90,196.66
11/04/2022,207.47,222.60,223.80,203.08
11/03/2022,215.31,211.36,221.20,210.14
11/02/2022,214.98,226.04,227.87,214.82
11/01/2022,227.82,234.05,237.40,227.28
10/31/2022,227.54,226.19,229.85,221.94
10/28/2022,228.52,225.40,228.86,216.35
10/27/2022,225.09,229.77,233.81,222.85
10/26/2022,224.64,219.40,230.60,218.20
10/25/2022,222.42,210.10,224.35,210.00
10/24/2022,211.25,205.82,213.50,198.59
10/21/2022,214.44,206.42,214.66,203.80
10/20/2022,207.28,208.28,215.55,202.00
10/19/2022,222.04,219.80,222.93,217.78
10/18/2022,220.19,229.50,229.82,217.25
10/17/2022,219.35,210.04,221.86,209.45
10/14/2022,204.99,224.01,226.26,204.16
10/13/2022,221.72,208.30,222.99,206.22
10/12/2022,217.24,215.33,219.30,211.51
10/11/2022,216.50,220.95,225.75,215.00
10/10/2022,222.96,223.93,226.99,218.36
10/07/2022,223.07,233.94,234.57,222.02
10/06/2022,238.13,239.44,244.58,235.35
10/05/2022,240.81,245.01,246.67,233.27
10/04/2022,249.44,250.52,257.50,242.01
10/03/2022,242.40,254.50,255.16,241.01