Date,GRA Purchases,PRGT 1/2/,Totals,Date,World_GDP,,,Years,%_Credit_Divided_by_World_GDP
08/31/2022,93769635059,15254184552,109023819611,2022,,,,,
12/31/2021,89474552025,14554823681,104029375706,2021,7.98797E+14,,,,
12/31/2020,93408630285,12481816684,105890446969,2020,7.01515E+14,,,2021,0.013023263
12/31/2019,66945509865,6590835450,73536345315,2019,7.25399E+14,,,2020,0.015094544
12/31/2018,55395611392,6426181029,61821792421,2018,7.14496E+14,,,2019,0.010137365
12/31/2017,39585385873,6522280669,46107666542,2017,6.7313E+14,,,2018,0.008652508
12/31/2016,49267630851,6482647937,55750278788,2016,6.28133E+14,,,2017,0.006849746
12/31/2015,50757840741,6575911158,57333751899,2015,6.19092E+14,,,2016,0.008875559
12/31/2014,69041563463,6292755583,75334319046,2014,6.59692E+14,,,2015,0.009260949
12/31/2013,83899249061,6174392682,90073641743,2013,6.41543E+14,,,2014,0.011419628
12/31/2012,90042348252,5766292503,95808640755,2012,6.1933E+14,,,2013,0.014040159
12/31/2011,87276915790,5308609594,92585525384,2011,6.03463E+14,,,2012,0.015469727
12/31/2010,55620104510,4819344134,60439448644,2010,5.38645E+14,,,2011,0.015342378
12/31/2009,37221142436,5079705286,42300847722,2009,4.85119E+14,,,2010,0.011220638
12/31/2008,17514964723,3972372030,21487336753,2008,5.11021E+14,,,2009,0.008719686
12/31/2007,6036146757,3796945581,9833092338,2007,4.57359E+14,,,2008,0.004204784
12/31/2006,9822640239,3844020520,13666660759,2006,3.99115E+14,,,2007,0.002149971
12/31/2005,28432143237,6282121668,34714264905,2005,3.63413E+14,,,2006,0.003424244
12/31/2004,55373766674,6766029353,62139796027,2004,3.31697E+14,,,2005,0.009552281
12/31/2003,65032062712,6880893268,71912955980,2003,2.91747E+14,,,2004,0.018733893
12/31/2002,63601058794,6868671012,70469729806,2002,2.58544E+14,,,2003,0.024649122
12/31/2001,53477225409,6424578684,59901804093,2001,2.48581E+14,,,2002,0.027256345
12/31/2000,42990531049,6331595468,49322126517,2000,2.49277E+14,,,2001,0.024097494
12/31/1999,51061861875,6434274362,57496136237,1999,2.41195E+14,,,2000,0.019786061
12/31/1998,60451017051,6288825925,66739842976,1998,2.34697E+14,,,1999,0.023838034
12/31/1997,46559033783,6009867422,52568901205,1997,2.35365E+14,,,1998,0.028436597
12/31/1996,36127472805,5881609752,42009082557,1996,2.35628E+14,,,1997,0.022335077
12/31/1995,35929173412,5657438528,41586611940,1995,2.2867E+14,,,1996,0.017828564
12/31/1994,25611676952,4599768498,30211445450,1994,2.04327E+14,,,1995,0.018186332
12/31/1993,25196745031,3942792899,29139537930,1993,1.89462E+14,,,1994,0.014785859
12/31/1992,23967172718,3804463796,27771636514,1992,1.86764E+14,,,1993,0.015380113
12/31/1991,23378573926,3285717796,26664291722,1991,1.75188E+14,,,1992,0.01486991
12/31/1990,20731851093,2571911617,23303762710,1990,1.69958E+14,,,1991,0.0152204
12/31/1989,22315104224,2334886562,24649990786,1989,1.4843E+14,,,1990,0.013711518
12/31/1988,24750004884,1773964293,26523969177,1988,1.42508E+14,,,1989,0.016607149
12/31/1987,28751979125,1866342930,30618322055,1987,1.2635E+14,,,1988,0.01861222
12/31/1986,33334905644,2013169931,35348075575,1986,1.11769E+14,,,1987,0.024233019
12/31/1985,35194787249,2470247948,37665035197,1985,9.55617E+13,,,1986,0.031626054
12/31/1984,34936772393,2769874900,37706647293,1984,9.14657E+13,,,1985,0.039414344
,,,,,8.91101E+13,,,1984,0.041224918
,,,,,,,,,
 1/ Includes loans under the Structural Adjustment Facility and Trust Fund.,,,,,,,,,
,,,,,,,,,
 2/ Formerly PRGF-ESF.,,,,,,,,,